4,998,dump
#
# used SQL: SELECT ROOMS,LIVINGSPACE,PRICE,YEAR FROM LANGNER.REALESTATES_HAMBURG WHERE (ROOMS IS NOT NULL) AND (LIVINGSPACE IS NOT NULL) AND (PRICE IS NOT NULL) AND (YEAR IS NOT NULL)
#
0.055555556,0.16873774,0.7244679,0.9452464
0.0625,0.15500326,0.7322788,0.99950224
0.097222224,0.33682147,0.7322788,0.9437531
0.034722224,0.13407455,0.7342316,0.9452464
0.2777778,1.0,0.7410662,0.95072174
0.083333336,0.31066057,0.74204254,0.9925336
0.055555556,0.24656639,0.74204254,0.045296166
0.07638889,0.49574885,0.75180626,0.9487307
0.020833334,0.12753433,0.76157,0.9910403
0.0625,0.22432962,0.76352274,0.98656046
0.083333336,0.3204709,0.76352274,0.952215
0.083333336,0.3204709,0.76352274,0.014435043
0.097222224,0.31066057,0.76645184,0.99601793
0.048611112,0.25833878,0.7713337,0.9910403
0.06944445,0.21582733,0.7713337,0.95619714
0.06944445,0.1438849,0.7713337,0.9452464
0.06944445,0.1438849,0.7713337,0.9452464
0.048611112,0.13996077,0.7713337,0.99950224
0.041666668,0.21255723,0.7830502,0.9835739
0.07638889,0.24722041,0.7859793,0.925336
0.055555556,0.21844342,0.7859793,0.9452464
0.041666668,0.10987574,0.78695565,0.962668
0.090277776,0.31654677,0.7908611,0.99601793
0.048611112,0.19293655,0.7908611,0.9990045
0.048611112,0.12753433,0.7908611,0.99950224
0.06944445,0.28580773,0.79105645,0.9990045
0.104166664,0.2086331,0.80062485,0.94922847
0.048611112,0.15369523,0.80062485,0.99800897
0.059027776,0.14061478,0.8006444,0.962668
0.06944445,0.17985612,0.8025776,0.9601792
0.06944445,0.24198823,0.8055067,0.950224
0.06944445,0.19947678,0.81038857,0.9427576
0.06944445,0.176586,0.81038857,0.96465904
0.083333336,0.2321779,0.82210505,0.9452464
0.045138888,0.12753433,0.82210505,0.9721254
0.055555556,0.18116416,0.8297657,0.9990045
0.090277776,0.35709614,0.829916,0.94126433
0.048611112,0.147155,0.829916,0.97162765
0.052083332,0.14257684,0.829916,0.9651568
0.083333336,0.25506866,0.829916,0.9930314
0.07638889,0.26880315,0.829916,0.94126433
0.055555556,0.22563767,0.829916,0.99950224
0.034722224,0.123610206,0.829916,0.99950224
0.083333336,0.26880315,0.829916,0.94126433
0.055555556,0.1733159,0.8374046,0.99950224
0.048611112,0.17462394,0.8416325,0.99601793
0.06944445,0.23675606,0.85920715,0.9825784
0.034722224,0.12230216,0.8594025,0.99950224
0.097222224,0.25833878,0.85959774,0.9382777
0.048611112,0.35382602,0.86018354,0.99601793
0.0625,0.19293655,0.86018354,0.9288203
0.104166664,0.21713538,0.8611599,0.9527128
0.041666668,0.2027469,0.8611599,0.9990045
0.034722224,0.094833225,0.8611599,0.99601793
0.055555556,0.19620667,0.8611599,0.9860627
0.041666668,0.20209287,0.8611599,0.9985067
0.041666668,0.14846304,0.867604,1.0
0.059027776,0.17985612,0.8689709,0.94922847
0.041666668,0.14519294,0.8689709,0.99601793
0.07638889,0.25179857,0.86994725,0.97610754
0.055555556,0.15696533,0.86994725,0.99950224
0.0069444445,0.24983649,0.87092364,0.9910403
0.048611112,0.17985612,0.873677,0.99950224
0.041666668,0.088293,0.8787346,0.9054256
0.06944445,0.23610203,0.8789299,0.9512195
0.041666668,0.15042512,0.8791252,1.0
0.041666668,0.19947678,0.879711,0.9965157
0.041666668,0.13407455,0.879711,0.9965157
0.048611112,0.18312623,0.8810779,0.99950224
0.0625,0.19751471,0.881859,0.99950224
0.055555556,0.16023545,0.8826401,0.98656046
0.055555556,0.16023545,0.8826401,0.98656046
0.055555556,0.16023545,0.8826401,0.98656046
0.041666668,0.14323087,0.8828354,0.99950224
0.045138888,0.107913665,0.88459283,0.9840717
0.027777778,0.10137345,0.88849837,0.98058736
0.06944445,0.2321779,0.8894747,0.975112
0.048611112,0.13080445,0.8912517,0.99950224
0.041666668,0.09679529,0.89240384,0.9900448
0.034722224,0.10464356,0.89435655,0.9741165
0.065972224,0.22236755,0.8945519,0.98456943
0.065972224,0.22236755,0.8945519,0.98456943
0.048611112,0.17985612,0.89533293,0.9835739
0.104166664,0.30477437,0.8982621,0.925336
0.048611112,0.13407455,0.8992384,0.9641613
0.041666668,0.16023545,0.9002148,0.9641613
0.06944445,0.22040549,0.90216756,0.9452464
0.048611112,0.107913665,0.90216756,0.9581882
0.055555556,0.16939177,0.90314394,0.9810851
0.059027776,0.1438849,0.90412027,0.96067697
0.027777778,0.086330935,0.90509665,0.99950224
0.055555556,0.17724003,0.9080258,0.925336
0.041666668,0.19293655,0.9080258,0.94922847
0.06944445,0.20928712,0.9080258,0.9930314
0.048611112,0.124264225,0.9080258,0.96217024
0.055555556,0.13538261,0.9080258,0.94823295
0.055555556,0.176586,0.9080258,0.9810851
0.038194444,0.107913665,0.90822107,0.98805374
0.048611112,0.22367561,0.90841633,0.9915381
0.06944445,0.16742969,0.9090021,0.96316576
0.041666668,0.1438849,0.9109549,0.92832255
0.048611112,0.112491824,0.9109549,0.9785963
0.0625,0.13538261,0.9115145,0.99950224
0.083333336,0.25833878,0.91212654,0.950224
0.0625,0.14453891,0.9133732,0.99950224
0.03125,0.10529758,0.91349345,0.9990045
0.034722224,0.12753433,0.913884,0.99701345
0.0625,0.13276652,0.913884,0.9790941
0.0625,0.15042512,0.913884,0.033847686
0.055555556,0.11314585,0.9157647,0.99950224
0.034722224,0.11445389,0.91583675,0.9990045
0.041666668,0.12099411,0.9161226,0.99950224
0.041666668,0.16088948,0.9164226,0.9800896
0.041666668,0.17396991,0.9179848,0.99352914
0.027777778,0.15827338,0.9179848,0.9930314
0.034722224,0.06736429,0.9179848,0.96465904
0.048611112,0.15434925,0.91818005,0.9990045
0.048611112,0.19228254,0.91818005,0.99950224
0.048611112,0.16677567,0.91818005,0.9835739
0.072916664,0.18639633,0.91818005,0.97162765
0.048611112,0.15369523,0.91818005,0.9850672
0.055555556,0.16023545,0.91876584,0.96316576
0.055555556,0.147155,0.91876584,0.96316576
0.041666668,0.10137345,0.91876584,0.9800896
0.055555556,0.147155,0.91876584,0.96316576
0.048611112,0.10137345,0.91876584,0.9591837
0.052083332,0.147155,0.91876584,0.9591837
0.048611112,0.20209287,0.91876584,0.9800896
0.048611112,0.18312623,0.91876584,0.987556
0.041666668,0.11445389,0.91876584,0.9940269
0.048611112,0.14911707,0.9197422,0.98805374
0.034722224,0.107913665,0.9197422,0.98805374
