7,1011,dump
#
# used SQL: SELECT CPU_TYPE,CPU_SPEED,RAM_INSTALLED,HARD_DRIVE,SCREEN_SIZE,WEIGHT,BEST_PRICE FROM NOTEBOOKS_SHOPPINGCOM.PRODUCTS_TEST WHERE (CPU_TYPE IS NOT NULL) AND (CPU_SPEED IS NOT NULL) AND (RAM_INSTALLED IS NOT NULL) AND (HARD_DRIVE IS NOT NULL) AND (SCREEN_SIZE IS NOT NULL) AND (WEIGHT IS NOT NULL) AND (BEST_PRICE IS NOT NULL) AND BEST_PRICE>50
#
0.0,0.6018519,0.48387095,0.038945183,0.7941177,0.9842026,0.90692556
0.0,0.7546296,0.22580644,0.019411549,0.6838236,0.9870236,0.7916671
0.0,0.32407406,0.09677419,0.019411549,0.38970593,0.9947029,0.95054954
0.0,0.6296296,0.48387095,1.0,0.7941177,0.9848295,0.8759893
0.0,0.18518518,0.3548387,0.038945183,0.625,0.9908475,0.9246774
0.0,0.5092593,0.3548387,2.4417043E-4,0.625,0.98921764,0.90178365
0.0,0.7546296,0.22580644,0.019411549,0.6838236,0.9863967,0.7005478
0.0,0.32407406,0.48387095,0.038945183,0.625,0.9908475,0.9249063
0.0,0.38425925,0.0,0.0047613233,0.75,0.9810682,0.9702359
0.0,0.8796296,0.3548387,0.030399218,0.7941177,0.9747994,0.76442134
0.0,0.5092593,0.3548387,0.030399218,0.7941177,0.985331,0.89583355
0.0,0.18518518,0.48387095,0.038945183,0.625,0.9908475,0.91048324
0.0,0.6018519,0.48387095,0.038945183,0.7941177,0.9842026,0.8763739
0.0,0.6296296,0.3548387,0.0075692832,0.625,0.9900326,0.84454936
0.0,0.23148148,0.48387095,0.038945183,0.625,0.99141175,0.84088635
0.0,0.1388889,0.48387095,0.030399218,0.50000006,0.99266547,0.9084503
0.0,0.5694444,0.48387095,0.038945183,0.7941177,0.9842026,0.9096087
0.0,0.8148148,0.48387095,0.038945183,1.0,0.97542626,0.59258103
0.0,0.5694444,0.48387095,0.038945183,0.7941177,0.9831369,0.88496363
0.0,0.32407406,0.09677419,0.019411549,0.3970588,0.9942327,0.9587913
0.0,0.35185185,0.09677419,0.030399218,0.38970593,0.99376255,0.9544392
0.0,0.5555556,0.48387095,0.048712,1.0,0.9773069,0.68410325
0.0,0.35185185,0.09677419,0.030399218,0.38970593,0.9938252,0.9358976
