8,1697,dump
#
# used SQL: SELECT NAME,CPU,CPU_FREQ,RAM_INSTALLED,HARDDRIVE,DISPLAY_TYPE,WEIGHT,MANUFACTURER FROM NOTEBOOKS_DOOYOO.PRODUCTS_JUL09
#
0.0,0.5,0.6825939,0.5,0.4,0.8507463,0.47435898,0.0
0.0,0.5,0.61433446,0.5,0.32,0.8507463,0.47435898,0.0
0.0,0.5,0.0,0.25,0.2,0.84577113,0.47435898,0.0
0.0,0.5,0.0,0.25,0.2,0.84577113,0.47435898,0.0
0.0,0.5,0.61433446,0.25,0.24,0.8507463,0.47435898,0.0
0.0,0.5,0.5460751,0.5,0.24,0.8507463,0.47435898,0.0
0.0,0.5,0.6825939,0.5,0.32,0.8507463,0.47435898,0.0
0.0,0.5,0.61433446,0.5,0.32,0.8507463,0.47435898,0.0
0.0,0.5,0.6825939,0.5,0.5,0.8507463,0.47435898,0.0
0.0,0.5,0.6825939,0.5,0.32,0.76616913,0.64102566,0.0
0.0,0.5,0.6825939,0.5,0.4,0.76616913,0.6474359,0.0
0.0,0.5,0.6825939,0.5,0.32,0.76616913,0.64102566,0.0
0.0,0.5,0.5802048,0.5,0.24,0.76616913,0.64102566,0.0
0.0,0.5,0.61433446,0.5,0.32,0.76616913,0.64102566,0.0
0.0,0.5,0.61433446,0.5,0.32,0.76616913,0.64102566,0.0
0.0,0.5,0.5460751,0.25,0.24,0.76616913,0.61538464,0.0
0.0,0.5,0.5460751,0.25,0.24,0.76616913,0.61538464,0.0
0.0,0.5,0.0,0.25,0.24,0.76616913,0.6217949,0.0
0.0,0.5,0.61433446,0.25,0.24,0.76616913,0.61538464,0.0
0.0,0.5,0.5460751,0.5,0.24,0.76616913,0.6217949,0.0
0.0,0.5,0.61433446,0.5,0.24,0.76616913,0.6217949,0.0
0.0,0.5,0.6825939,0.5,0.32,0.76616913,0.61538464,0.0
0.0,0.5,0.61433446,0.5,0.32,0.76616913,0.61538464,0.0
0.0,0.5,0.0,0.5,0.32,0.76616913,0.61538464,0.0
0.0,0.5,0.5802048,0.25,0.32,0.76616913,0.64102566,0.0
0.0,0.5,0.61433446,0.5,0.32,0.76616913,0.64102566,0.0
0.0,0.5,0.5802048,0.25,0.32,0.76616913,0.64102566,0.0
0.0,0.5,0.6825939,0.75,0.5,0.76616913,0.64102566,0.0
0.0,0.5,0.5460751,0.25,0.24,0.76616913,1.0,0.0
0.0,0.8,0.6348123,0.5,0.256,0.66169155,0.82564104,0.0
0.0,0.5,0.6825939,0.5,0.5,0.84577113,0.53846157,0.0
0.0,0.5,0.5460751,0.25,0.32,0.76616913,0.64102566,0.0
0.0,0.5,0.0,0.5,0.24,0.76616913,0.65384614,0.0
0.0,0.5,0.5460751,0.5,0.32,0.76616913,0.64102566,0.0
0.0,0.5,0.61433446,0.5,0.32,0.76616913,0.64102566,0.0
0.0,0.5,0.75085324,0.5,0.32,0.76616913,0.6282051,0.0
0.0,0.5,0.6825939,0.5,0.5,0.76616913,0.6282051,0.0
0.0,0.5,0.5460751,0.25,0.16,0.84577113,0.48717952,0.0
0.0,0.5,0.0,0.25,0.24,0.84577113,0.48717952,0.0
0.0,0.5,0.6825939,0.5,0.32,0.84577113,0.48717952,0.0
0.0,0.5,0.6825939,0.5,0.5,0.84577113,0.48717952,0.0
0.0,0.5,0.75085324,0.5,0.5,0.84577113,0.48717952,0.0
0.0,0.5,0.64846414,0.25,0.24,0.76616913,0.65384614,0.0
0.0,0.5,0.6825939,0.25,0.32,0.76616913,0.65384614,0.0
0.0,0.5,0.0,0.25,0.16,0.70149255,0.6923077,0.0
0.0,0.5,0.0,0.25,0.16,0.70149255,0.6923077,0.0
0.0,0.5,0.0,0.25,0.2,0.70149255,0.6923077,0.0
0.0,0.5,0.0,0.25,0.16,0.76616913,0.61538464,0.0
0.0,0.5,0.0,0.25,0.2,0.76616913,0.61538464,0.0
0.0,0.5,0.0,0.25,0.16,0.76616913,0.61538464,0.0
0.0,0.5,0.0,0.25,0.16,0.76616913,0.61538464,0.0
0.0,0.5,0.5460751,0.25,0.24,0.76616913,0.61538464,0.0
0.0,0.5,0.0,0.25,0.2,0.76616913,0.61538464,0.0
