7,1294,dump
#
# used SQL: SELECT CPU_TYPE,CPU_SPEED,RAM_INSTALLED,HARD_DRIVE,SCREEN_SIZE,WEIGHT,BEST_PRICE FROM NOTEBOOKS_SHOPPINGCOM.PRODUCTS_TEST WHERE (CPU_TYPE IS NOT NULL) AND (CPU_SPEED IS NOT NULL) AND (RAM_INSTALLED IS NOT NULL) AND (HARD_DRIVE IS NOT NULL) AND (SCREEN_SIZE IS NOT NULL) AND (WEIGHT IS NOT NULL) AND (BEST_PRICE IS NOT NULL) AND BEST_PRICE>50
#
0.0,0.5017794,0.13043478,0.019411549,0.28070176,0.9412573,0.9488237
0.0,0.6227758,0.65217394,0.038945183,0.7894737,0.80796975,0.88194126
0.0,0.6227758,0.3043478,0.024294958,0.87719303,0.7866713,0.99954396
0.0,0.3380783,0.3043478,0.030399218,0.4035088,0.93782204,0.9445946
0.0,0.48042706,0.13043478,0.019411549,0.16666664,0.95499825,0.93102634
0.0,0.6227758,0.65217394,0.038945183,0.7368421,0.8289248,0.913229
0.0,0.48042706,0.3043478,0.019411549,0.27192986,0.9412573,0.9014227
0.0,0.40925267,0.65217394,0.038945183,0.6228071,0.88629335,0.88209254
0.0,0.48042706,0.13043478,0.019411549,0.2631579,0.92064583,0.9510484
0.0,0.6227758,0.3043478,0.030399218,0.87719303,0.7602199,0.8665198
0.0,0.6227758,0.47826087,0.019411549,0.87719303,0.7602199,0.8665198
0.0,0.658363,0.65217394,0.048712,0.7368421,0.82995534,0.8190565
0.0,0.658363,0.47826087,0.030399218,0.87719303,0.7763655,0.8547669
0.0,0.48042706,0.13043478,0.019411549,0.2631579,0.9412573,0.95616513
0.0,0.6227758,0.65217394,0.06092052,1.0,0.7275851,0.67251754
0.0,0.19572954,0.65217394,0.038945183,0.74561405,0.82445896,0.83315873
0.0,0.48042706,0.13043478,0.019411549,0.27192986,0.9312951,0.9399339
0.0,0.6227758,0.3043478,0.038945183,0.5526316,0.8777053,0.85316294
0.0,0.658363,0.65217394,0.038945183,0.74561405,0.82445896,0.8285024
0.0,0.48042706,0.13043478,0.019411549,0.27192986,0.9340433,0.9510484
0.0,0.40925267,0.47826087,0.030399218,0.6228071,0.88629335,0.8642863
0.0,0.6227758,0.65217394,0.038945183,0.7368421,0.81071794,0.88887775
0.0,0.6227758,0.65217394,0.038945183,0.7894737,0.79251117,0.84426427
0.0,0.56227756,0.3043478,0.030399218,0.754386,0.8347647,0.9045617
0.0,0.6227758,0.65217394,0.038945183,0.5526316,0.8941944,0.8642863
0.0,0.38434163,0.3043478,0.030399218,0.27192986,0.9412573,0.93990725
0.0,0.48042706,0.13043478,0.019411549,0.16666664,0.95156306,0.94993603
0.0,0.8113879,0.65217394,0.06092052,0.44736847,0.8083133,0.83336115
0.0,0.658363,0.47826087,0.030399218,0.7368421,0.82445896,0.8889779
0.0,0.40925267,0.65217394,0.06092052,0.754386,0.8485057,0.8776343
0.0,0.48042706,0.13043478,0.0072030276,0.27192986,0.9464102,0.89120257
0.0,0.658363,0.65217394,0.038945183,0.6228071,0.8347647,0.8335836
0.0,0.48042706,0.13043478,0.019411549,0.28070176,0.93266916,0.9475467
0.0,0.6227758,0.47826087,0.030399218,0.754386,0.80487806,0.9110043
0.0,0.48042706,0.13043478,0.019411549,0.27192986,0.9343868,0.9424211
0.0,0.40925267,0.3043478,0.030399218,0.5526316,0.9103401,0.87497133
0.0,0.6227758,0.3043478,0.019411549,0.7017544,0.83132946,0.92657703
0.0,0.6227758,0.65217394,0.038945183,0.5526316,0.86224663,0.8934272
0.0,0.38434163,0.3043478,0.030399218,0.4035088,0.93782204,0.9445946
0.0,0.38434163,0.13043478,0.019411549,0.4035088,0.9343868,0.9488237
0.0,0.5017794,0.13043478,0.019411549,0.27192986,0.93095154,0.93325543
0.0,0.5017794,0.13043478,0.019411549,0.27192986,0.9343868,0.9405902
0.0,0.5017794,0.13043478,0.019411549,0.27192986,0.93095154,0.933251
0.0,0.71530247,0.65217394,0.06092052,0.9035087,0.7639986,0.79977083
0.0,0.658363,0.65217394,0.038945183,0.7894737,0.82445896,0.85983694
0.0,0.6939502,0.3043478,0.019411549,0.754386,0.80487806,0.933251
0.0,0.48042706,0.13043478,0.019411549,0.16666664,0.94503605,0.94660795
0.0,0.6227758,0.47826087,0.038945183,0.754386,0.7866713,0.9223479
0.0,0.40925267,0.3043478,0.038945183,0.5614035,0.93232566,0.85538757
0.0,0.6939502,0.65217394,0.030399218,0.9035087,0.79045004,0.8776343
0.0,0.6227758,0.13043478,0.06092052,0.9035087,0.7670903,0.7652862
0.0,0.3380783,0.3043478,0.030399218,0.4035088,0.9285469,0.9154537
0.0,0.76512456,0.65217394,3.6625564E-4,1.0,0.7214016,0.8042202
0.0,0.6939502,0.47826087,0.038945183,0.44736847,0.87083477,0.81578624
0.0,0.658363,0.47826087,0.019411549,0.7368421,0.81071794,0.85004616
0.0,0.6797153,0.3043478,0.030399218,0.754386,0.80487806,0.89276206
0.0,0.56227756,0.13043478,0.012086436,0.5526316,0.8897286,0.9870858
0.0,0.6227758,0.65217394,0.038945183,0.6140351,0.8485057,0.85827744
0.0,0.38434163,0.13043478,0.019411549,0.4035088,0.93095154,0.9488237
0.0,0.48042706,0.13043478,0.019411549,0.27192986,0.93095154,0.9646633
0.0,0.48042706,0.13043478,0.002319619,0.16666664,0.9481278,0.95549774
0.0,0.6227758,0.47826087,0.030399218,0.7368421,0.8419787,0.9288106
0.0,0.6227758,0.3043478,0.030399218,0.7368421,0.80762625,0.8551629
0.0,0.658363,0.3043478,0.030399218,0.754386,0.8278942,0.9136094
0.0,0.6227758,0.13043478,0.019411549,0.7368421,0.84163517,0.9399339
0.0,0.6227758,0.65217394,0.30509096,0.6228071,0.8347647,0.8877565
0.0,0.658363,0.65217394,0.038945183,0.6228071,0.85606325,0.85538757
0.0,0.6227758,0.13043478,0.01452814,0.7368421,0.8419787,0.9345836
0.0,0.48042706,0.13043478,0.019411549,0.27192986,0.9340433,0.9488237
0.0,0.6227758,0.47826087,0.038945183,0.7368421,0.81071794,0.8754096
0.0,0.3380783,0.13043478,0.0035404712,0.0,0.9663346,0.9490439
0.0,0.48042706,0.3043478,1.2208521E-4,0.6228071,0.8505668,1.0
0.0,0.48042706,0.13043478,0.019411549,0.16666664,0.95156306,0.95994705
0.0,0.71530247,0.3043478,0.01452814,0.87719303,0.70422536,0.7110043
0.0,0.48042706,0.13043478,0.019411549,0.2631579,0.95156306,0.9572797
0.0,0.6797153,0.3043478,0.019411549,0.7368421,0.8419787,0.9354757
0.0,0.6797153,0.65217394,0.038945183,0.7368421,0.8289248,0.90544266
0.0,0.6227758,0.3043478,0.030399218,0.87719303,0.7602199,0.8665198
0.0,0.658363,0.65217394,0.038945183,0.87719303,0.7643421,0.83307415
0.0,0.8113879,0.65217394,0.06092052,0.9035087,0.796977,0.7777444
0.0,0.56227756,0.13043478,0.019411549,0.87719303,0.7866713,0.99954396
0.0,0.6939502,0.47826087,0.06092052,0.44736847,0.87083477,0.8465979
0.0,0.6227758,0.65217394,0.030399218,0.7368421,0.81071794,0.8362532
0.0,0.48042706,0.13043478,0.019411549,0.27192986,0.9412573,0.94949335
0.0,0.658363,0.65217394,0.038945183,0.87719303,0.77293026,0.871403
